artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,singles_rate,annee_median,louvain_community,node2vec_cluster
HORNET LA FRAPPE,4,9,17.0,5.0,1.6470588235294117,0.23529411764705882,0.7058823529411765,2018.0,0,0
DA UZI,1,2,8.0,5.0,1.125,0.25,0.75,2020.0,4,0
TIAKOLA,4,13,19.0,5.0,2.789473684210526,0.42105263157894735,1.0,2022.0,2,1
GENEZIO,1,2,1.0,2.0,2.0,1.0,1.0,2025.0,2,0
GAZO,1,6,22.0,5.0,2.6363636363636362,0.5,0.8636363636363636,2022.0,2,0
PLK,3,6,42.0,5.0,1.9761904761904763,0.19047619047619047,0.8571428571428571,2020.0,3,1
SOOLKING,1,2,17.0,5.0,1.8235294117647058,0.5882352941176471,0.8823529411764706,2020.0,6,0
GHETTO PHENOMENE,1,2,1.0,2.0,2.0,1.0,1.0,2017.0,5,0
FRANGLISH,3,6,14.0,5.0,1.1428571428571428,0.35714285714285715,0.7142857142857143,2021.0,1,0
NEKFEU,5,14,37.0,6.0,2.4054054054054053,0.2972972972972973,0.9459459459459459,2019.0,7,0
ALONZO,2,4,17.0,5.0,1.8235294117647058,0.11764705882352941,0.7647058823529411,2017.0,7,0
HAMZA,1,3,15.0,2.0,0.6666666666666666,0.13333333333333333,0.8666666666666667,2023.0,2,0
GREEN MONTANA,1,2,5.0,2.0,1.2,0.4,0.6,2022.0,3,0
MHD,2,4,18.0,5.0,2.4444444444444446,0.16666666666666666,0.8888888888888888,2016.0,7,0
SOFIANE,3,6,15.0,5.0,1.8,0.26666666666666666,0.8666666666666667,2017.0,0,0
LA FOUINE,1,2,7.0,2.0,0.5714285714285714,0.5714285714285714,1.0,2024.0,1,0
SCH,3,8,40.0,5.0,1.6,0.125,0.9,2019.0,5,1
LETO,1,3,20.0,5.0,1.75,0.4,0.85,2021.0,4,0
VACRA,1,2,2.0,5.0,3.5,0.5,1.0,2023.0,3,0
JUL,5,13,112.0,5.0,1.4821428571428572,0.125,0.875,2019.0,5,1
KORE,1,2,5.0,5.0,3.4,0.8,0.8,2021.0,4,0
NAZA,1,3,13.0,5.0,0.8461538461538461,0.15384615384615385,0.8461538461538461,2018.0,1,0
BOOBA,4,9,54.0,5.0,1.6851851851851851,0.14814814814814814,0.8148148148148148,2017.0,3,1
ALPHA WANN,1,4,3.0,0.0,0.0,0.3333333333333333,1.0,2021.0,7,0
NISKA,4,14,45.0,5.0,2.088888888888889,0.2222222222222222,0.9111111111111111,2018.0,4,1
GLK,1,2,3.0,2.0,1.3333333333333333,0.6666666666666666,1.0,2019.0,0,0
KALIF HARDCORE,1,2,0.0,0.0,0.0,0.0,0.0,2015.0,5,0
SDM,7,15,25.0,5.0,2.32,0.32,0.96,2021.0,3,1
GUY2BEZBAR,1,2,9.0,5.0,0.5555555555555556,0.2222222222222222,0.6666666666666666,2023.0,3,0
MAES,6,12,26.0,5.0,2.230769230769231,0.23076923076923078,0.8846153846153846,2019.5,3,1
LACRIM,2,4,38.0,5.0,1.4210526315789473,0.34210526315789475,0.8421052631578947,2017.0,3,0
LANDY,1,2,8.0,3.0,0.875,0.125,0.75,2020.0,0,0
NINHO,11,33,87.0,5.0,2.1149425287356323,0.25287356321839083,0.9540229885057471,2019.0,4,1
TIMAL,1,2,19.0,5.0,1.368421052631579,0.3157894736842105,0.7894736842105263,2020.0,3,0
KEBLACK,2,5,14.0,5.0,2.142857142857143,0.21428571428571427,0.7142857142857143,2018.0,1,0
SNEAZZY,2,4,3.0,0.0,0.0,0.3333333333333333,1.0,2020.0,7,0
FALLY IPUPA,1,2,3.0,2.0,0.6666666666666666,1.0,1.0,2017.0,4,0
ANITTA,1,2,1.0,0.0,0.0,1.0,1.0,2017.0,6,0
KOBA LAD,3,8,20.0,5.0,1.9,0.35,0.85,2019.0,4,1
KALASH CRIMINEL,3,6,8.0,2.0,1.0,0.25,0.75,2017.0,0,0
TAYC,1,4,17.0,5.0,1.6470588235294117,0.11764705882352941,0.8823529411764706,2020.0,6,0
DADJU,7,18,33.0,5.0,1.8181818181818181,0.42424242424242425,0.9090909090909091,2019.0,6,0
ABOU DEBEING,1,2,2.0,2.0,1.0,1.0,1.0,2017.0,6,0
GIMS,2,4,20.0,5.0,1.9,0.55,0.9,2024.0,6,0
YARO,1,3,1.0,2.0,2.0,1.0,1.0,2022.0,4,0
DOSSEH,1,2,11.0,5.0,1.6363636363636365,0.45454545454545453,0.8181818181818182,2018.0,3,0
BENAB,1,2,5.0,2.0,0.4,0.4,1.0,2021.0,3,0
L2B,2,4,6.0,2.0,1.0,0.6666666666666666,1.0,2023.0,1,0
S.PRI NOIR,3,7,6.0,5.0,1.8333333333333333,0.5,0.6666666666666666,2019.0,7,0
MAITRE GIMS,1,3,24.0,5.0,2.0,0.375,0.9583333333333334,2018.0,6,0
JAZZY BAZZ,1,3,4.0,2.0,0.5,0.75,0.75,2020.0,7,0
WERENOI,4,9,37.0,5.0,1.864864864864865,0.24324324324324326,0.8918918918918919,2023.0,3,1
NEMIR,1,2,2.0,0.0,0.0,0.5,1.0,2018.5,7,0
NAPS,3,7,28.0,5.0,1.3214285714285714,0.2857142857142857,0.8571428571428571,2018.0,5,1
KAARIS,1,2,22.0,5.0,2.0454545454545454,0.18181818181818182,0.8181818181818182,2017.0,0,0
