source,target,weight,type
NAPS,KALIF HARDCORE,2.0,collab+similar
NAPS,JUL,5.0,collab+similar
NAPS,SCH,2.0,collab+similar
NAPS,13 ORGANISE,0.850893,similar
NAPS,BRULUX,0.777479,similar
NAPS,DADI,0.937862,similar
NAPS,DJ KAYZ,0.854759,similar
NAPS,DOSSEH,0.544903,similar
NAPS,LACRIM,1.406253,similar
NAPS,SOSO MANESS,1.249946,similar
NAPS,NIRO,0.42828,similar
NAPS,RK,0.535754,similar
NAPS,SADEK,0.599724,similar
NAPS,SASSO,0.668321,similar
NAPS,TIMAL,0.68835,similar
NAPS,TK,1.0,similar
KALIF HARDCORE,GHETTO PHENOMENE,0.610363,similar
KALIF HARDCORE,L'ALLEMAND,0.700632,similar
KALIF HARDCORE,LA FAMAX,0.671438,similar
KALIF HARDCORE,MRC,0.607108,similar
NINHO,DADJU,4.12227,collab+similar
NINHO,LETO,3.0,collab+similar
NINHO,NISKA,8.0,collab+similar
NINHO,KOBA LAD,5.8045480000000005,collab+similar
NINHO,FALLY IPUPA,2.0,collab+similar
NINHO,HORNET LA FRAPPE,4.672002,collab+similar
NINHO,SOFIANE,2.720407,collab+similar
NINHO,LACRIM,3.485247,collab+similar
NINHO,YARO,3.0,collab+similar
NINHO,DA UZI,2.0,collab+similar
NINHO,KORE,2.0,collab+similar
NINHO,13 BLOCK,0.667025,similar
NINHO,1PLIKE140,1.43079,similar
NINHO,4KEUS,0.544067,similar
NINHO,A2H,0.528019,similar
NINHO,ALONZO,1.427018,similar
NINHO,AMK,0.784376,similar
NINHO,ASHH,0.531957,similar
NINHO,BEENDO Z,0.576404,similar
NINHO,BENAB,0.416559,similar
NINHO,BOLEMVN,1.51545,similar
NINHO,BOOBA,1.454952,similar
NINHO,BOSH,0.643501,similar
NINHO,BOUSS,0.878064,similar
NINHO,BRAMSITO,0.763552,similar
NINHO,BRULUX,0.680899,similar
NINHO,CHILLA,0.460848,similar
NINHO,DAMSO,1.33321,similar
NINHO,DIAM'S,0.492478,similar
NINHO,DINOS,1.4142700000000001,similar
NINHO,DJ HAMIDA,0.988087,similar
NINHO,DJ KAWEST,0.482625,similar
NINHO,DJ LESKA,0.596375,similar
NINHO,FAVE,0.670316,similar
NINHO,FRANGLISH,0.52016,similar
NINHO,FREEZE CORLEONE,0.560184,similar
NINHO,FRESH LADOUILLE,0.567885,similar
NINHO,GAZO,2.0,similar
NINHO,GENEZIO,1.022037,similar
NINHO,GHOST KILLER TRACK,0.418057,similar
NINHO,GIANNI,1.0,similar
NINHO,GIMS,0.563357,similar
NINHO,GLK,0.794229,similar
NINHO,GP EXPLORER,0.675889,similar
NINHO,GRADUR,1.6609639999999999,similar
NINHO,GREEN MONTANA,1.109797,similar
NINHO,GUIZMO,0.731631,similar
NINHO,GUY2BEZBAR,1.284392,similar
NINHO,H.E.M,0.529715,similar
NINHO,HATIK,0.908093,similar
NINHO,HEUSS L'ENFOIRE,1.58554,similar
NINHO,IKAZ BOI,0.452121,similar
NINHO,JKSN,0.74552,similar
NINHO,JOK'AIR,1.288452,similar
NINHO,JOSMAN,1.007723,similar
NINHO,JUL,1.401564,similar
NINHO,KAARIS,1.30786,similar
NINHO,KALASH,0.480954,similar
NINHO,KALASH CRIMINEL,1.263889,similar
NINHO,KEBLACK,1.252443,similar
NINHO,KERCHAK,0.574306,similar
NINHO,KOFS,0.576538,similar
NINHO,KPOINT,1.463589,similar
NINHO,L'ALGERINO,0.949218,similar
NINHO,L2B,0.682762,similar
NINHO,LA FOUINE,1.236234,similar
NINHO,LA MANO 1.9,0.697714,similar
NINHO,LA RVFLEUZE,0.738558,similar
NINHO,LANDY,1.582202,similar
NINHO,LARTISTE,0.690861,similar
NINHO,LE CLASSICO ORGANISE,0.416139,similar
NINHO,LE CLUB,0.463038,similar
NINHO,LUV RESVAL,0.530868,similar
NINHO,LYNA MAHYEM,0.44679,similar
NINHO,MAES,1.782032,similar
NINHO,MARWA LOUD,0.677153,similar
NINHO,MAITRE GIMS,0.572797,similar
NINHO,MENACE SANTANA,0.46362,similar
NINHO,MHD,0.911366,similar
NINHO,MISTER V,0.670845,similar
NINHO,MISTER YOU,0.585216,similar
NINHO,MOHA LA SQUALE,0.923535,similar
NINHO,NAHIR,0.85318,similar
NINHO,NIAKS,0.570589,similar
NINHO,WERENOI,1.95428,similar
NINHO,TIAKOLA,1.5981290000000001,similar
NINHO,NIRO,1.444526,similar
NINHO,SCH,1.422172,similar
NINHO,RIM'K,1.506041,similar
NINHO,NONO LA GRINTA,0.649056,similar
NINHO,PNL,1.0,similar
NINHO,PONKO,0.56502,similar
NINHO,PRIME,0.533754,similar
NINHO,R2,0.403954,similar
NINHO,RK,0.874846,similar
NINHO,RNBOI,0.756925,similar
NINHO,RSKO,0.434057,similar
NINHO,S.PRI NOIR,0.689574,similar
NINHO,SADEK,0.670653,similar
NINHO,SASSO,0.442358,similar
NINHO,SDM,0.417408,similar
NINHO,SIBOY,0.593195,similar
NINHO,SOSO MANESS,0.567385,similar
NINHO,SQUIDJI,0.47608,similar
NINHO,THEODORT,0.680774,similar
NINHO,TIMAL,0.607014,similar
NINHO,TIMAR,0.588308,similar
NINHO,TK,0.410655,similar
NINHO,TKS 2G,0.418927,similar
NINHO,TRIANGLE DES BERMUDES,0.628154,similar
NINHO,VACRA,0.559211,similar
NINHO,VEN1,0.74559,similar
NINHO,WIZTHEMC,0.710288,similar
NINHO,YG PABLO,0.608473,similar
NINHO,YL,0.501915,similar
NINHO,YORSSY,0.574591,similar
NINHO,ZKR,0.966169,similar
NINHO,ZOKUSH,0.598001,similar
NINHO,ZOLA,1.0,similar
SOFIANE,HORNET LA FRAPPE,3.420878,collab+similar
SOFIANE,KALASH CRIMINEL,3.582827,collab+similar
SOFIANE,ALONZO,1.485534,similar
SOFIANE,BOOBA,1.6838570000000002,similar
SOFIANE,DJANGO,1.198165,similar
SOFIANE,GLK,0.567641,similar
SOFIANE,GRADUR,1.335363,similar
SOFIANE,GUIZMO,0.774177,similar
SOFIANE,HAYCE LEMSI,1.614623,similar
SOFIANE,HEUSS L'ENFOIRE,1.382036,similar
SOFIANE,HUGO TSR,0.452601,similar
SOFIANE,KAARIS,1.626927,similar
SOFIANE,KERY JAMES,1.213933,similar
SOFIANE,L'ALGERINO,0.836652,similar
SOFIANE,LA FOUINE,1.3787509999999998,similar
SOFIANE,LACRIM,1.42904,similar
SOFIANE,LARTISTE,0.589194,similar
SOFIANE,LE RAT LUCIANO,0.52711,similar
SOFIANE,LORD ESPERANZA,0.531138,similar
SOFIANE,LORENZO,0.406076,similar
SOFIANE,MISTER V,0.621358,similar
SOFIANE,MISTER YOU,0.479776,similar
SOFIANE,MOHA LA SQUALE,0.521637,similar
SOFIANE,NAHIR,0.608937,similar
SOFIANE,NIRO,1.1679490000000001,similar
SOFIANE,NISKA,1.3230940000000002,similar
SOFIANE,PRIME,0.746153,similar
SOFIANE,RIM'K,1.56644,similar
SOFIANE,ROHFF,1.128566,similar
SOFIANE,SADEK,1.280991,similar
SOFIANE,SCH,1.469037,similar
SOFIANE,SINIK,1.042558,similar
SOFIANE,MEDINE,0.676239,similar
SOFIANE,MAC TYER,0.655532,similar
SOFIANE,VALD,1.27291,similar
SOFIANE,FREEZE CORLEONE,0.622366,similar
SOFIANE,ALKPOTE,0.587634,similar
SOFIANE,MAES,0.554563,similar
SOFIANE,DINOS,0.545355,similar
SOFIANE,NEKFEU,0.544583,similar
SOFIANE,KOBA LAD,0.527079,similar
SOFIANE,SOSO MANESS,0.77655,similar
SOFIANE,STILL FRESH,0.430761,similar
SOFIANE,YOUSSOUPHA,0.60539,similar
L2B,LA FOUINE,2.0,collab+similar
L2B,FRANGLISH,3.202918,collab+similar
L2B,1PLIKE140,1.067263,similar
L2B,4KEUS,1.354357,similar
L2B,AMK,0.65943,similar
L2B,BEENDO Z,1.011366,similar
L2B,BOLEMVN,0.669299,similar
L2B,BOUSS,1.2625600000000001,similar
L2B,CHILY,0.816744,similar
L2B,DA UZI,0.53564,similar
L2B,DADJU,0.411036,similar
L2B,DENDEN,0.628545,similar
L2B,DJ KAWEST,0.682951,similar
L2B,FAVE,1.0699049999999999,similar
L2B,GAZO,1.108556,similar
L2B,GENEZIO,1.914774,similar
L2B,GUY2BEZBAR,1.828668,similar
L2B,HAMZA,0.839364,similar
L2B,JKSN,0.603922,similar
L2B,KAZA,0.72129,similar
L2B,KEBLACK,1.4958390000000001,similar
L2B,KULTURR,0.996709,similar
L2B,TIAKOLA,1.9455710000000002,similar
L2B,RSKO,1.934536,similar
L2B,YORSSY,1.663624,similar
L2B,LANDY,1.665422,similar
L2B,NISKA,1.126876,similar
L2B,WERENOI,1.125446,similar
L2B,GAMBINO LA MG,0.48347,similar
L2B,MHD,1.193422,similar
L2B,MAES,0.874952,similar
L2B,OBOY,0.949117,similar
L2B,LA MANO 1.9,1.0,similar
L2B,LA RVFLEUZE,0.689639,similar
L2B,NONO LA GRINTA,0.94332,similar
L2B,R2,0.747032,similar
L2B,RK,0.523495,similar
L2B,TIMAR,0.629284,similar
L2B,TKS 2G,0.489944,similar
L2B,TRIANGLE DES BERMUDES,0.592755,similar
L2B,VEGEDREAM,0.449817,similar
L2B,VEN1,0.55813,similar
L2B,ZOKUSH,0.635865,similar
VACRA,PLK,2.0,collab+similar
VACRA,AMK,0.587129,similar
VACRA,BOLEMVN,1.0566,similar
VACRA,BOUSS,1.106238,similar
VACRA,DJ KAWEST,0.427351,similar
VACRA,FRANGLISH,1.20193,similar
VACRA,JEY BROWNIE,2.0,similar
VACRA,KEBLACK,1.077295,similar
VACRA,MARWA LOUD,0.466218,similar
VACRA,MATT,0.444986,similar
VACRA,MC MENOR JP,0.628309,similar
VACRA,NAHIR,1.1893470000000002,similar
VACRA,RNBOI,0.508043,similar
VACRA,THEODORT,1.289784,similar
VACRA,GAZO,0.611732,similar
VACRA,JUL,0.513055,similar
VACRA,TIAKOLA,0.511259,similar
VACRA,DADJU,0.42404,similar
VACRA,JOSMAN,0.403035,similar
VACRA,YG PABLO,0.705263,similar
SNEAZZY,NEKFEU,3.374142,collab+similar
SNEAZZY,S.PRI NOIR,3.41344,collab+similar
SNEAZZY,A2H,1.293471,similar
SNEAZZY,BEKAR,1.06079,similar
SNEAZZY,DEEN BURBIGO,1.331543,similar
SNEAZZY,DJANGO,0.577928,similar
SNEAZZY,DOUMS,1.3802560000000001,similar
SNEAZZY,HAMZA,1.0878999999999999,similar
SNEAZZY,IKAZ BOI,0.486921,similar
SNEAZZY,JOK'AIR,1.0432519999999998,similar
SNEAZZY,JOSMAN,1.275174,similar
SNEAZZY,LAYLOW,1.345955,similar
SNEAZZY,LORD ESPERANZA,0.837586,similar
SNEAZZY,LUJIPEKA,0.496548,similar
SNEAZZY,LUV RESVAL,1.145048,similar
SNEAZZY,MADEINPARIS,0.452201,similar
SNEAZZY,MISTER V,1.20726,similar
SNEAZZY,NAHIR,1.1705320000000001,similar
SNEAZZY,NUSKY,0.446654,similar
SNEAZZY,NEPAL,1.22282,similar
SNEAZZY,OBOY,1.09327,similar
SNEAZZY,PLK,1.21949,similar
SNEAZZY,S-CREW,1.496105,similar
SNEAZZY,DINOS,0.93109,similar
SNEAZZY,JAZZY BAZZ,0.903779,similar
SNEAZZY,DAMSO,0.781404,similar
SNEAZZY,ALPHA WANN,0.759615,similar
SNEAZZY,VALD,1.344477,similar
SNEAZZY,SCH,0.629963,similar
SNEAZZY,GREEN MONTANA,0.603233,similar
SNEAZZY,GAZO,0.572163,similar
SNEAZZY,KEKRA,0.525757,similar
SNEAZZY,ROUNHAA,0.520957,similar
SNEAZZY,FREEZE CORLEONE,0.500259,similar
SNEAZZY,B.B. JACQUES,0.488479,similar
SNEAZZY,YVNNIS,0.4836,similar
SNEAZZY,SQUIDJI,0.508936,similar
LETO,13 BLOCK,1.441487,similar
LETO,AMK,0.983222,similar
LETO,BRAMSITO,0.674992,similar
LETO,CHILY,0.714245,similar
LETO,DADJU,0.900035,similar
LETO,DAU,0.457285,similar
LETO,DENDEN,0.475815,similar
LETO,DJ KAWEST,0.526546,similar
LETO,DJ LESKA,0.45303,similar
LETO,FRANGLISH,1.189316,similar
