artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,annee_median,singles_rate,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
NAPS,16,19.542523999999993,28.0,5.0,1.3214285714285714,0.2857142857142857,2018.0,0.8571428571428571,11.538261772783395,15.35498105276698,5,1,0,0,0,1,0,0,0,0,0,0
KALIF HARDCORE,5,4.5895410000000005,0.0,0.0,0.0,0.0,2015.0,0.0,8.068716192714781,10.457631253015656,3,1,1,0,0,0,0,0,0,0,0,0
NINHO,119,130.87440499999997,87.0,5.0,2.1149425287356323,0.25287356321839083,2019.0,0.9540229885057471,12.10540111935848,16.37467606733144,5,1,1,0,0,0,0,0,0,0,0,0
SOFIANE,45,48.51238800000001,15.0,5.0,1.8,0.26666666666666666,2017.0,0.8666666666666667,10.941075139366463,14.288540852234862,5,1,1,0,0,0,0,0,0,0,0,0
L2B,44,45.78561499999999,6.0,2.0,1.0,0.6666666666666666,2023.0,1.0,10.584739261683007,14.32156039579743,4,1,0,0,0,0,0,0,0,0,0,0
VACRA,21,17.710825,2.0,5.0,3.5,0.5,2023.0,1.0,10.931927703227235,13.956971056975014,3,1,0,0,0,0,1,0,0,0,0,0
SNEAZZY,37,38.01199800000001,3.0,0.0,0.0,0.3333333333333333,2020.0,1.0,10.689578478738811,14.492691961096568,2,1,0,0,0,0,0,0,0,0,0,0
LETO,42,36.078305,20.0,5.0,1.75,0.4,2021.0,0.85,11.209114010588564,15.333167116955984,5,1,0,0,0,1,0,0,1,0,0,0
HORNET LA FRAPPE,53,63.70353099999999,17.0,5.0,1.6470588235294117,0.23529411764705882,2018.0,0.7058823529411765,10.652187692216323,13.920629744504572,5,1,1,0,0,0,0,0,0,0,0,0
BOOBA,71,70.886187,54.0,5.0,1.6851851851851851,0.14814814814814814,2017.0,0.8148148148148148,12.181031722286688,16.56907623395559,5,1,1,0,0,0,0,0,0,0,0,0
GAZO,85,79.48926700000001,22.0,5.0,2.6363636363636362,0.5,2022.0,0.8636363636363636,11.797683265904762,15.911334054674722,5,1,1,0,0,0,0,0,0,0,0,0
SCH,58,61.880466000000006,40.0,5.0,1.6,0.125,2019.0,0.9,11.615391796514718,16.569417609401324,5,1,1,0,0,0,0,0,0,0,0,0
ABOU DEBEING,4,6.561577999999999,2.0,2.0,1.0,1.0,2017.0,1.0,9.591171199125986,11.701485853054026,5,1,1,0,0,0,1,0,0,0,0,0
S.PRI NOIR,56,50.243739000000005,6.0,5.0,1.8333333333333333,0.5,2019.0,0.6666666666666666,10.853367787403839,14.129258689640551,4,1,1,0,0,0,0,0,0,0,0,0
KOBA LAD,37,37.205278,20.0,5.0,1.9,0.35,2019.0,0.85,11.215650864312943,15.128474529150399,5,1,1,0,0,0,0,0,0,0,0,0
SDM,8,15.417408,25.0,5.0,2.32,0.32,2021.0,0.96,11.290868822756257,15.64113572266963,5,1,0,0,0,0,0,0,0,1,0,0
MHD,36,32.46924,18.0,5.0,2.4444444444444446,0.16666666666666666,2016.0,0.8888888888888888,11.981071119248956,15.07310583204161,5,1,1,0,0,0,0,0,0,0,1,0
YARO,2,4.0,1.0,2.0,2.0,1.0,2022.0,1.0,10.529960599828081,12.988543943299842,5,1,1,1,0,0,1,0,0,0,0,0
KALASH CRIMINEL,50,47.538205000000005,8.0,2.0,1.0,0.25,2017.0,0.75,10.974694385513637,14.520144017917149,5,1,1,0,0,0,0,0,0,0,0,0
KORE,2,2.571377,5.0,5.0,3.4,0.8,2021.0,0.8,10.742897240074326,13.5447629512754,5,1,1,0,1,0,0,0,0,0,0,0
DADJU,50,57.132859,33.0,5.0,1.8181818181818181,0.42424242424242425,2019.0,0.9090909090909091,12.032350011799583,15.385262497028343,5,1,1,0,0,0,1,0,0,0,0,0
ALPHA WANN,56,55.38256600000001,3.0,0.0,0.0,0.3333333333333333,2021.0,1.0,11.276342001289317,15.696055787365948,5,1,1,0,0,0,0,0,0,0,0,0
KAARIS,63,56.273844000000004,22.0,5.0,2.0454545454545454,0.18181818181818182,2017.0,0.8181818181818182,11.60320482959995,15.576704284823359,5,1,1,0,0,0,0,0,0,0,0,0
KEBLACK,50,51.42220100000001,14.0,5.0,2.142857142857143,0.21428571428571427,2018.0,0.7142857142857143,11.349559117691879,14.319554437599914,5,1,0,0,0,0,0,0,0,0,0,0
NEMIR,14,13.330514999999998,2.0,0.0,0.0,0.5,2018.5,1.0,10.591999004691544,13.47723389434341,5,1,1,0,0,0,0,0,0,0,0,0
GREEN MONTANA,52,50.53079699999999,5.0,2.0,1.2,0.4,2022.0,0.6,10.941712691189142,15.858323773350454,5,1,1,0,0,0,0,0,0,0,0,0
LA FOUINE,55,48.093647,7.0,2.0,0.5714285714285714,0.5714285714285714,2024.0,1.0,11.542192962650796,14.734148133844494,5,1,1,0,0,0,0,0,0,0,0,0
TIMAL,33,26.981276000000005,19.0,5.0,1.368421052631579,0.3157894736842105,2020.0,0.7894736842105263,10.666906786081405,14.431166897068683,0,1,0,0,0,0,0,0,0,0,0,0
LANDY,52,50.055432999999994,8.0,3.0,0.875,0.125,2020.0,0.75,10.727290118975121,13.757969364991387,5,1,1,0,1,0,0,0,0,0,0,0
DA UZI,45,39.17432800000002,8.0,5.0,1.125,0.25,2020.0,0.75,10.592952963693447,14.455235864528145,4,1,1,0,0,0,0,0,0,0,0,0
NEKFEU,55,63.52257500000001,37.0,6.0,2.4054054054054053,0.2972972972972973,2019.0,0.9459459459459459,11.82082919455998,16.477965376144443,5,1,1,0,0,0,0,0,0,0,0,0
ALONZO,37,37.81192000000001,17.0,5.0,1.8235294117647058,0.11764705882352941,2017.0,0.7647058823529411,11.452028306018923,14.323091122215322,5,1,1,0,0,0,0,0,0,0,0,0
FRANGLISH,46,44.214747,14.0,5.0,1.1428571428571428,0.35714285714285715,2021.0,0.7142857142857143,11.401535698744171,14.419650006506924,5,1,0,1,0,0,0,0,0,0,1,0
LACRIM,60,65.306452,38.0,5.0,1.4210526315789473,0.34210526315789475,2017.0,0.8421052631578947,11.573757124176472,15.136125747652322,5,1,1,0,0,0,0,0,0,0,0,0
NAZA,7,6.651457999999999,13.0,5.0,0.8461538461538461,0.15384615384615385,2018.0,0.8461538461538461,11.381049843656648,14.25806333667634,5,1,0,0,0,1,0,0,0,0,0,0
GENEZIO,38,35.83551199999999,1.0,2.0,2.0,1.0,2025.0,1.0,10.422400386484737,13.72952883251969,5,1,1,0,0,0,0,0,0,0,0,0
HAMZA,41,39.29685000000001,15.0,2.0,0.6666666666666666,0.13333333333333333,2023.0,0.8666666666666667,11.900362370559002,16.50214200654316,5,1,1,0,0,0,0,0,0,0,0,0
ANITTA,1,2.0,1.0,0.0,0.0,1.0,2017.0,1.0,14.028995615836635,18.9339852008713,5,1,0,1,0,1,1,0,0,0,0,0
BENAB,28,26.258063,5.0,2.0,0.4,0.4,2021.0,1.0,10.06130293769185,13.37231398721858,4,1,1,0,0,0,0,0,0,0,0,0
JUL,70,68.30636400000002,112.0,5.0,1.4821428571428572,0.125,2019.0,0.875,12.226086034928187,16.687375392111086,5,1,1,0,0,0,0,0,0,0,0,0
MAES,66,71.11763099999999,26.0,5.0,2.230769230769231,0.23076923076923078,2019.5,0.8846153846153846,11.623679409904762,15.733824114099829,5,1,1,0,0,0,0,0,0,0,0,0
JAZZY BAZZ,50,48.05348700000001,4.0,2.0,0.5,0.75,2020.0,0.75,11.021461194682857,15.082113595053162,5,1,1,0,0,0,0,0,0,0,0,0
GHETTO PHENOMENE,7,7.026802,1.0,2.0,2.0,1.0,2017.0,1.0,9.715469803197292,12.05845391930221,1,1,0,0,0,0,0,0,0,0,0,0
TAYC,12,14.148419000000002,17.0,5.0,1.6470588235294117,0.11764705882352941,2020.0,0.8823529411764706,12.052367699682097,15.416816495333823,5,1,1,0,0,0,1,0,0,0,1,0
GIMS,50,45.36676999999999,20.0,5.0,1.9,0.55,2024.0,0.9,12.960380774645888,16.38187552835747,5,1,1,0,0,0,1,0,0,0,0,0
MAITRE GIMS,28,26.178935000000003,24.0,5.0,2.0,0.375,2018.0,0.9583333333333334,10.86936812875028,13.446576491391195,5,1,1,0,0,0,0,0,0,0,0,0
