source,target,weight
HORNET LA FRAPPE,NINHO,3
HORNET LA FRAPPE,LANDY,2
HORNET LA FRAPPE,GLK,2
HORNET LA FRAPPE,SOFIANE,2
DA UZI,NINHO,2
TIAKOLA,GAZO,6
TIAKOLA,HAMZA,3
TIAKOLA,SDM,2
TIAKOLA,GENEZIO,2
PLK,VACRA,2
PLK,MAES,2
PLK,SDM,2
SOOLKING,GIMS,2
GHETTO PHENOMENE,JUL,2
FRANGLISH,L2B,2
FRANGLISH,DADJU,2
FRANGLISH,KEBLACK,2
NEKFEU,ALPHA WANN,4
NEKFEU,S.PRI NOIR,3
NEKFEU,JAZZY BAZZ,3
NEKFEU,SNEAZZY,2
NEKFEU,NEMIR,2
ALONZO,S.PRI NOIR,2
ALONZO,MHD,2
GREEN MONTANA,SDM,2
MHD,NISKA,2
SOFIANE,KALASH CRIMINEL,2
SOFIANE,NINHO,2
LA FOUINE,L2B,2
SCH,JUL,4
SCH,NAPS,2
SCH,WERENOI,2
LETO,NINHO,3
JUL,NAPS,3
JUL,SDM,2
JUL,KALASH CRIMINEL,2
KORE,NINHO,2
NAZA,KEBLACK,3
BOOBA,NISKA,3
BOOBA,SDM,2
BOOBA,DOSSEH,2
BOOBA,MAES,2
NISKA,NINHO,7
NISKA,KOBA LAD,2
KALIF HARDCORE,NAPS,2
SDM,WERENOI,3
SDM,GUY2BEZBAR,2
MAES,KOBA LAD,2
MAES,WERENOI,2
MAES,BENAB,2
MAES,TIMAL,2
LACRIM,WERENOI,2
LACRIM,NINHO,2
NINHO,KOBA LAD,4
NINHO,YARO,3
NINHO,DADJU,3
NINHO,FALLY IPUPA,2
SNEAZZY,S.PRI NOIR,2
ANITTA,DADJU,2
KALASH CRIMINEL,KAARIS,2
TAYC,DADJU,4
DADJU,MAITRE GIMS,3
DADJU,ABOU DEBEING,2
DADJU,GIMS,2
