artist_snep,lastfm_name,mbid,listeners,playcount,tags,lastfm_url
$-CREW,$-Crew,811ce22a-0974-448c-ab8d-42629857e1ad,3634.0,37795.0,,https://www.last.fm/music/$-Crew
-M-,-M-,,152005.0,2455050.0,french|rock|chanson francaise|pop|rock francais,https://www.last.fm/music/-M-
"-M-, TOUMANI DIABATÉ, SIDIKI DIABATÉ","-M-, Toumani Diabaté, Sidiki Diabaté",,55.0,176.0,,"https://www.last.fm/music/-M-,+Toumani+Diabat%C3%A9,+Sidiki+Diabat%C3%A9"
070 SHAKE,070 Shake,741dbc8e-1cd5-4a66-b2b8-43bbad87ae12,762408.0,21705133.0,rnb|hip hop|rap|Hip-Hop|synthpop,https://www.last.fm/music/070+Shake
100 BLAZE,100 Blaze,ce0bf40c-08a5-4990-9959-e859e1b89699,12152.0,160694.0,,https://www.last.fm/music/100+Blaze
113,113,32dc3f24-253c-47ef-9f7c-157f8442f4a6,74946.0,740403.0,Hip-Hop|rap|rap francais|french rap|french,https://www.last.fm/music/113
13 BLOCK,13 Block,ee281c14-5420-478c-899e-52beed04ae8a,42117.0,2751136.0,trap|french|rap|Hip-Hop|drill,https://www.last.fm/music/13+Block
13 ORGANISÉ,13 Organisé,8c31de6d-3b19-47ea-94e7-5253fc7c89e0,23960.0,253984.0,Hip-Hop,https://www.last.fm/music/13+Organis%C3%A9
1PLIKÉ140,1PLIKÉ140,012da0e5-f3cd-40bf-913d-25cc973d0408,39064.0,2335173.0,drill fr|french|rap|france|french rap,https://www.last.fm/music/1PLIK%C3%89140
2 BE 3,2 Be 3,1f1e114b-ccf4-4da9-886e-140cd93f4b1c,10045.0,67413.0,french|Gay Metal|2 Be 3|francais|90s,https://www.last.fm/music/2+Be+3
2 PAC,2Pac,382f1005-e9ab-4684-afd4-0bdae4ee37f2,4196825.0,148136693.0,rap|Hip-Hop|Gangsta Rap|West Coast Rap|hip hop,https://www.last.fm/music/2Pac
2 UNLIMITED,2 Unlimited,515b236c-cce1-4dc2-aedd-50de7b1736e2,593511.0,5444102.0,eurodance|dance|90s|techno|electronic,https://www.last.fm/music/2+Unlimited
20 FINGERS,20 Fingers,1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa,115010.0,551190.0,dance|electronic|eurodance|90s|pop,https://www.last.fm/music/20+Fingers
21 SAVAGE,21 Savage,37b2cb82-ef79-4d46-a184-a549450aa231,2321407.0,221773053.0,trap|Hip-Hop|rap|hip hop|atlanta,https://www.last.fm/music/21+Savage
2TH,2TH,82c161c8-d923-486c-be26-574b2b15a2de,21396.0,434605.0,france|rap|Hip-Hop|electronic|French hip hop,https://www.last.fm/music/2TH
2ZER,2zer,dc616cec-4eaf-4684-ac03-ca43d1d6bf15,10385.0,131537.0,,https://www.last.fm/music/2zer
3,3,3c23d0bd-b361-4456-ad79-ccc5643f3b93,201200.0,3135344.0,Progressive rock|alternative rock|rock|industrial black metal|experimental,https://www.last.fm/music/3
3 T,3T,8275ed69-a0f8-4bad-b6e0-2c57d306e593,171474.0,854627.0,pop|rnb|90s|soul|american,https://www.last.fm/music/3T
3010,3010,7971e621-2181-4319-a55d-a979a71ce3ec,4273.0,77539.0,premium|rap|aero|rap francais|hyde or die,https://www.last.fm/music/3010
313,313,b8b674bf-3b19-450a-9295-d58d49518a8d,13693.0,182781.0,Power metal|heavy metal|2ch|speed metal|US MEtal,https://www.last.fm/music/313
3EME OEIL,Le 3ème œil,,857.0,7945.0,rap francais|Hip-Hop|french hip-hop,https://www.last.fm/music/Le+3%C3%A8me+%C5%93il
3EME ŒIL,3eme Œil,,2.0,4.0,,https://www.last.fm/music/3eme+%C5%92il
3ROBI,3Robi,,37627.0,981825.0,netherlands|dutch rap|dutch|rap|netherland,https://www.last.fm/music/3Robi
47TER,47ter,d3812f13-0962-42a8-bbcd-0e64c873b2eb,31489.0,990311.0,rap|french|Hip-Hop|france|francais,https://www.last.fm/music/47ter
4KEUS,4KEUS,,27548.0,595722.0,french|france|french rap|rap francais|afro trap,https://www.last.fm/music/4KEUS
4KEUS GANG,4KEUS GANG,,12683.0,151480.0,french|rap|french rap|france|la courneuve,https://www.last.fm/music/4KEUS+GANG
50 CENT,50 Cent,8e68819d-71be-4e7d-b41d-f1df81b01d3f,4954461.0,121653875.0,rap|Hip-Hop|Gangsta Rap|hip hop|50 Cent,https://www.last.fm/music/50+Cent
6IX9INE,6ix9ine,2282c539-05a2-477c-82b7-fe40798d37f3,1195755.0,33046371.0,Hip-Hop|rap|trap|hip hop|Reggaeton,https://www.last.fm/music/6ix9ine
740 BOYZ,740 Boyz,82cb0c73-7f85-4cae-a9ad-3fcf046b6ad7,15479.0,55984.0,eurodance|dance|90s|House|rap,https://www.last.fm/music/740+Boyz
7IA,7ia,d2db4721-4cb1-4840-8a02-a8c83b261710,73.0,369.0,soul|french|rnb|france|afro,https://www.last.fm/music/7ia
93 EMPIRE,93 Empire,5c888261-a760-447e-a3ee-339466e4a416,460.0,4146.0,,https://www.last.fm/music/93+Empire
A BOOGIE WIT DA HOODIE,A Boogie wit da Hoodie,,1472563.0,103314415.0,Hip-Hop|rap|hip hop|trap|Melodic Rap,https://www.last.fm/music/A+Boogie+wit+da+Hoodie
A LA RECHERCHE DE LA NOUVELLE STAR,A La Recherche De La Nouvelle Star,,316.0,2166.0,,https://www.last.fm/music/A+La+Recherche+De+La+Nouvelle+Star
A R I Z O N A,A R I Z O N A,46b9c1ea-a7d1-49fc-a3b9-3a95a33f3a19,387778.0,6551148.0,pop|electronic|synth|indietronica|american,https://www.last.fm/music/A+R+I+Z+O+N+A
A T C,ATC,408b2a33-d229-46a5-a361-0667bc616e34,252501.0,2395285.0,dance|pop|eurodance|electronic|techno,https://www.last.fm/music/ATC
A TOUCH OF GLASS,A Touch Of Glass,,362.0,1391.0,,https://www.last.fm/music/A+Touch+Of+Glass
A$AP FERG,A$AP Ferg,8ab5d936-49d1-415e-92c8-151e0e7dd912,1641318.0,42654555.0,Hip-Hop|trap|rap|hip hop|swag,https://www.last.fm/music/A$AP+Ferg
A$AP ROCKY,A$AP Rocky,25b7b584-d952-4662-a8b9-dd8cdfbfeb64,3480470.0,375632690.0,Hip-Hop|rap|underground hip-hop|swag|cloud rap,https://www.last.fm/music/A$AP+Rocky
A2H,A2H,4a0d7c69-81b2-4458-82a6-5856f6dede9a,39548.0,851582.0,Hip-Hop|french|french rap|rap|rap francais,https://www.last.fm/music/A2H
A7S,A7S,bcb31fac-a9ee-49ab-bbfe-36b4a4898128,75265.0,404177.0,EDM|pop|House|swedish|Sweden,https://www.last.fm/music/A7S
AALIYAH,Aaliyah,bc85da58-52d9-457d-ae8d-5d8d4ec870a9,2030505.0,42261252.0,rnb|soul|female vocalists|pop|Hip-Hop,https://www.last.fm/music/Aaliyah
AB6IX,AB6IX,1d2c24a6-9ae6-460b-a65e-63671c9fbdd9,154519.0,5878690.0,k-pop|pop|Korean|AB6IX|Kpop,https://www.last.fm/music/AB6IX
ABBA,ABBA,d87e52c5-bb8d-4da8-b941-9f4928627dc8,4429542.0,194452591.0,pop|Disco|70s|swedish|80s,https://www.last.fm/music/ABBA
ABD AL MALIK,Abd Al Malik,,36294.0,599746.0,slam|french|Hip-Hop|rap|french rap,https://www.last.fm/music/Abd+Al+Malik
ABOU DEBEING,Abou Debeing,05a77ee7-5c89-4c91-b448-9a81a3764917,14634.0,120750.0,french|rap|rnb|france|urban pop,https://www.last.fm/music/Abou+Debeing
AC,AC,24220db8-3014-4166-84fc-2b7bdb5b756f,168141.0,2558935.0,AC/DC|hard rock|ACDC|Ac-Dc|classic rock,https://www.last.fm/music/AC
