source,target,match
$-CREW,S.crew,1.0
$-CREW,2zer,0.808518
$-CREW,Ashkidd,0.733142
$-CREW,"Jazzy Bazz, Nekfeu",0.717959
$-CREW,ROMEO ELVIS,0.713398
$-CREW,Aladin 135,0.586499
$-CREW,L'Entourage,0.569689
$-CREW,"Nekfeu, Alpha Wann",0.569106
$-CREW,LEDÉ MARKSON,0.561179
$-CREW,Ash Kidd,0.560415
$-CREW,"Laylow, Nekfeu, Fousheé",0.544316
$-CREW,"Nekfeu, Sneazzy, S.Pri Noir",0.534569
$-CREW,"Nekfeu, Nemir",0.528609
$-CREW,Disiz la Peste,0.510089
$-CREW,"Disiz, Damso",0.506144
$-CREW,"Népal, Doums",0.495632
$-CREW,"Nekfeu, Damso",0.488429
$-CREW,"Lefa, Lomepal",0.47621
$-CREW,Crew,0.453445
$-CREW,5 majeur,0.451749
$-CREW,"Vald, Damso",0.449043
$-CREW,Take a Mic,0.432977
$-CREW,Panama Bende,0.429455
$-CREW,Suikon Blaz AD,0.422323
$-CREW,Twinsmatic,0.417789
$-CREW,KIKESA,0.416159
$-CREW,"Dinos, Nekfeu",0.412069
$-CREW,Haristone,0.408824
$-CREW,"Orelsan, Damso",0.407518
$-CREW,"Orelsan, Gringe",0.396796
-M-,Julien Doré,1.0
-M-,Louise Attaque,0.977468
-M-,Alain Bashung,0.91709
-M-,Ben Mazué,0.915728
-M-,Brigitte,0.903055
-M-,Vanessa Paradis,0.892764
-M-,Les Rita Mitsouko,0.865001
-M-,Grand Corps Malade,0.841882
-M-,La Grande Sophie,0.818405
-M-,Izïa,0.812638
-M-,Alain Souchon,0.808764
-M-,Tryo,0.803539
-M-,Michel Berger,0.79758
-M-,Jean-Jacques Goldman,0.797028
-M-,Jean-Louis Aubert,0.776605
-M-,CALI,0.767193
-M-,Noir Désir,0.760565
-M-,Téléphone,0.755826
-M-,Matmatah,0.75128
-M-,Gaëtan Roussel,0.732937
-M-,Francis Cabrel,0.728042
-M-,Eddy Mitchell,0.727921
-M-,Olivia Ruiz,0.720605
-M-,Mickey 3D,0.716181
-M-,Marc Lavoine,0.707035
-M-,Juliette Armanet,0.702815
-M-,Les Innocents,0.700994
-M-,Calogero,0.696749
-M-,Étienne Daho,0.689263
-M-,Niagara,0.686138
"-M-, TOUMANI DIABATÉ, SIDIKI DIABATÉ","-M-, Toumani Diabaté, Sidiki Diabaté, Fatoumata Diawara, Louis Chedid",1.0
"-M-, TOUMANI DIABATÉ, SIDIKI DIABATÉ","-M-, Toumani Diabaté, Sidiki Diabaté, Mamani Keita, Moriba Diabaté",0.967959
"-M-, TOUMANI DIABATÉ, SIDIKI DIABATÉ","-M-, Toumani Diabaté, Sidiki Diabaté, Fatoumata Diawara, Oxmo Puccino",0.372238
