artist,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
NAPS,197.10762,52.366547,-93.569466,118.68907,55.273785,-59.734394,26.135746,-22.658718,26.467007,-35.59501,-28.49639,-35.271603,62.63475,-27.483133,53.9683,-22.578096,-25.420515,-6.2415338,-21.831995,5.474816,9.152125,8.857773,1.7027522,-1.1443585,-4.968457,9.49728,-29.57629,-8.459125,-19.966986,14.932815,-0.2012231,-4.647794,11.538261772783397,15.35498105276698,5,1,0,0,0,1,0,0,0,0,0,0
KALIF HARDCORE,42.010307,23.462584,-4.180495,139.37186,254.70343,-6.134839,5.7856984,-0.6452485,8.427954,-9.121837,-6.074898,-11.591196,15.082334,-11.805543,12.098884,-20.307034,-17.486876,-0.39150867,-37.320316,5.4894757,-0.2807471,6.4925365,-1.6494039,31.822083,0.6354384,-5.7771187,-6.8051143,14.748931,7.0652533,5.6763835,-0.49252436,-0.42702055,8.068716192714781,10.457631253015656,3,1,1,0,0,0,0,0,0,0,0,0
JUL,661.7588,201.50436,-91.4421,100.02367,37.9918,-66.39129,16.564756,-51.54857,-19.058174,-56.996452,-45.354607,4.849385,10.789282,-5.007534,-10.982096,-17.474087,46.271442,-0.13120909,2.052899,4.066614,-79.872375,9.192592,3.350407,-7.7514477,-7.135521,41.662106,-19.307003,28.933878,-36.182884,-5.9194713,24.25724,-22.08079,12.226086034928189,16.687375392111086,5,1,1,0,0,0,0,0,0,0,0,0
SCH,533.98096,-142.05872,-26.61265,53.34714,-9.878321,-1.806026,14.4035225,7.520572,-30.811716,12.788527,20.273071,-16.358742,18.670341,-29.923773,-4.604704,-12.350363,30.045126,4.855816,-2.4529963,18.048265,3.838644,26.93257,-17.074905,15.476005,-42.17691,-32.930134,-3.8365366,1.0410862,-4.211686,-36.173283,16.380512,-2.7130773,11.615391796514718,16.569417609401324,5,1,1,0,0,0,0,0,0,0,0,0
13 ORGANISE,170.7881,53.42068,-62.477062,69.5711,-15.604413,-46.08574,15.526977,-27.12304,13.875536,-2.7090156,-15.724795,-13.819695,26.498938,-31.467619,2.8303318,-50.794403,12.029865,2.4047697,-15.809982,8.131384,11.508321,-21.420475,-0.3527401,-34.284393,-7.2470827,-10.078659,8.927349,3.97587,23.414492,7.3164334,-4.9206877,5.020164,10.0841827875855,12.44503048913874,1,1,1,0,0,0,0,0,0,0,0,0
BRULUX,281.70145,54.20674,-115.44898,72.010864,-29.399584,-22.68712,34.418793,13.055226,32.643627,-34.363132,6.7225823,-21.333591,16.92094,-0.29683936,14.2833605,31.323757,-3.7056317,25.955776,5.345984,3.5814376,-7.7074075,-11.441931,19.731567,-12.789324,8.671776,-1.2666405,-4.251837,6.8191986,11.343308,17.190662,13.333329,10.136543,9.82725424653654,12.69217413120887,0,1,0,0,0,0,0,0,0,0,0,0
DADI,179.64174,-1.3794805,-32.08145,44.79586,-8.254111,-25.057337,-4.8758607,6.036965,-9.836968,-38.081455,-35.90297,-19.177906,53.933174,10.551729,16.206516,4.205066,-40.480644,-5.32057,4.8207026,-10.687601,7.651263,15.900887,1.8786887,9.5124,-23.960215,-0.40110126,-11.802505,-15.009845,12.781884,-0.37253687,-17.402954,10.964716,9.830325286907144,12.572405303256453,3,1,1,0,0,0,0,0,0,0,0,0
DJ KAYZ,69.27224,21.60171,-31.46686,38.57015,-0.58615893,-21.461432,8.09424,-14.759003,5.775996,-18.58462,-15.802587,-9.705051,24.533781,-11.055402,26.185558,-9.702981,-9.728387,-1.3452188,-3.1681082,4.884753,5.947103,9.318857,-4.098902,-2.3697755,-22.73877,4.154225,-19.006039,-7.074651,7.382056,1.2307526,-5.4811544,6.003227,10.535716318126656,12.94345678298317,5,1,0,0,0,0,0,0,0,0,0,0
DOSSEH,158.39314,14.715777,-57.986015,53.723473,-12.376999,-28.136324,3.9475331,4.8750696,4.337382,-38.43933,-22.692663,-27.689737,38.31789,1.0120007,28.152534,22.70624,-15.854581,-9.250366,3.4242194,13.596097,15.700877,13.3397875,4.2869315,-1.5037334,-23.40674,7.600663,-17.036123,-4.41538,4.341088,10.201776,2.0798113,0.28831533,10.987696610893494,14.414172868058431,5,1,0,0,0,0,0,0,0,0,0,0
LACRIM,517.3118,117.23119,-161.34479,113.745705,-43.565395,-34.23713,14.169111,-27.99533,11.084532,-7.7837734,-8.886191,-17.48732,22.085146,4.326882,31.956287,-6.023745,-2.7351806,-14.296221,7.9199514,0.36881444,-2.1530657,-4.7716703,3.920186,2.8038118,17.87434,25.536396,-12.240218,-12.195333,-17.028671,30.19641,1.7933122,6.3037696,11.573757124176472,15.136125747652322,5,1,1,0,0,0,0,0,0,0,0,0
