artist,louvain_community
NAPS,0
KALIF HARDCORE,1
JUL,0
SCH,0
13 ORGANISE,0
BRULUX,0
DADI,0
DJ KAYZ,0
DOSSEH,0
LACRIM,0
SOSO MANESS,0
NIRO,0
RK,0
SADEK,0
SASSO,0
TIMAL,0
TK,0
GHETTO PHENOMENE,1
L'ALLEMAND,1
LA FAMAX,1
MRC,1
NINHO,0
DADJU,2
LETO,3
NISKA,0
KOBA LAD,0
FALLY IPUPA,0
HORNET LA FRAPPE,0
SOFIANE,0
YARO,0
DA UZI,0
KORE,0
13 BLOCK,5
1PLIKE140,5
4KEUS,3
A2H,5
ALONZO,0
AMK,3
ASHH,5
BEENDO Z,3
BENAB,0
BOLEMVN,0
BOOBA,0
BOSH,0
BOUSS,0
BRAMSITO,0
CHILLA,5
DAMSO,5
DIAM'S,2
DINOS,5
DJ HAMIDA,0
DJ KAWEST,3
DJ LESKA,3
FAVE,3
FRANGLISH,3
FREEZE CORLEONE,5
FRESH LADOUILLE,0
GAZO,3
GENEZIO,3
GHOST KILLER TRACK,5
GIANNI,0
GIMS,2
GLK,0
GP EXPLORER,3
GRADUR,0
GREEN MONTANA,5
GUIZMO,5
GUY2BEZBAR,3
H.E.M,5
HATIK,2
HEUSS L'ENFOIRE,0
IKAZ BOI,5
JKSN,3
JOK'AIR,5
JOSMAN,5
KAARIS,0
KALASH,3
KALASH CRIMINEL,0
KEBLACK,3
KERCHAK,3
KOFS,0
KPOINT,0
L'ALGERINO,0
L2B,3
LA FOUINE,0
LA MANO 1.9,3
LA RVFLEUZE,3
LANDY,0
LARTISTE,2
LE CLASSICO ORGANISE,0
LE CLUB,0
LUV RESVAL,5
LYNA MAHYEM,0
MAES,0
MARWA LOUD,2
MAITRE GIMS,2
MENACE SANTANA,3
MHD,3
MISTER V,5
MISTER YOU,0
MOHA LA SQUALE,0
NAHIR,0
NIAKS,0
WERENOI,0
TIAKOLA,3
RIM'K,0
NONO LA GRINTA,3
PNL,5
PONKO,5
PRIME,5
R2,3
RNBOI,3
RSKO,3
S.PRI NOIR,5
SDM,0
SIBOY,5
SQUIDJI,5
THEODORT,5
TIMAR,3
TKS 2G,3
TRIANGLE DES BERMUDES,3
VACRA,3
VEN1,0
WIZTHEMC,5
YG PABLO,5
YL,0
YORSSY,3
ZKR,0
ZOKUSH,3
ZOLA,0
DJANGO,5
HAYCE LEMSI,0
HUGO TSR,5
KERY JAMES,4
LE RAT LUCIANO,4
LORD ESPERANZA,5
LORENZO,5
ROHFF,4
SINIK,4
MEDINE,4
MAC TYER,0
VALD,5
ALKPOTE,0
NEKFEU,5
STILL FRESH,0
YOUSSOUPHA,4
CHILY,3
DENDEN,3
HAMZA,5
KAZA,0
KULTURR,3
GAMBINO LA MG,3
OBOY,5
VEGEDREAM,2
PLK,5
JEY BROWNIE,3
MATT,2
MC MENOR JP,2
SNEAZZY,5
BEKAR,5
DEEN BURBIGO,5
DOUMS,5
LAYLOW,5
LUJIPEKA,5
MADEINPARIS,5
NUSKY,5
NEPAL,5
S-CREW,5
JAZZY BAZZ,5
ALPHA WANN,5
KEKRA,5
ROUNHAA,5
B.B. JACQUES,5
YVNNIS,5
DAU,5
LOGOBI GT,2
ZEG P,0
ATEYABA,5
LUNATIC,4
CHEU-B,5
DTF,5
MAFIA K'1 FRY,4
MMZ,0
OXMO PUCCINO,4
PSY 4 DE LA RIME,4
JOE DWET FILE,3
JYEUHAIR,5
DISIZ,5
ISHA,5
LA FEVE,5
LESRAM,5
ABOU DEBEING,1
DJ ERISE,1
ELAMS,1
FABABY,1
GEORGIO,5
LIVAI,5
TSEW THE KID,5
LEFA,5
SEXION D'ASSAUT,2
TAYC,2
4KEUS GANG,3
BLACK M,2
ISK,0
STAVO,5
VLADIMIR CAUCHEMAR,5
ANITTA,2
AYA NAKAMURA,2
CORNEILLE,2
JUNGELI,2
COLONEL REYEL,2
SOPRANO,2
KENDJI GIRAC,2
M POKORA,2
M. POKORA,2
MONSIEUR NOV,2
NASSI,2
NEJ,2
RIDSA,2
RONISIA,2
TAL,2
VITAA,2
WEJDENE,2
ZAHO,2
JUNGLE JACK,5
INFINIT',5
MAIRO,5
JEANJASS,5
BU$HI,5
PRINCE WALY,5
LUIDJI,5
CABALLERO,5
J9UEVE,5
KRISY,5
LIMSA D'AULNAY,5
SO LA LUNE,5
THEODORA,3
NAZA,3
NEMIR,5
GROS MO,5
JEWEL USAIN,5
JOLAGREEN23,5
DIDDI TRIX,5
YOURI,5
HMZ,0
STARE DOBRE MAŁZENSTWO,3
DJADJA & DINAZ,0
GAULOIS,0
MANAU,2
RILES,5
YA LEVIS,0
AMIR,2
WALLACE CLEAVER,5
IMEN ES,2
SOOLKING,2
KEEN'V,2
PIERRE GARNIER,2
VIANNEY,2
