Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
UZI;AKRAPOVITCH 5;ARGENTIC MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;23/01/2020;23/04/2026;6 ans 4 mois
RIM'K;MONSTER;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;15/01/2016;23/04/2026;10 ans 5 mois
ALAN WALKER, SABRINA CARPENTER & FARRUKO;ON MY WAY;KREATELL MUSIC / SONY MUSIC ENTERTAINMENT;Singles;Or;15/03/2019;23/04/2026;7 ans 2 mois
JOK'AIR;NUIT ET JOUR;PLAY TWO / BELIEVE;Singles;Or;20/03/2020;23/04/2026;6 ans 2 mois
LACRIM;L'IMMORTALE;PLATA O PLOMO RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;22/09/2021;23/04/2026;4 ans 7 mois
NIRO;JAMAIS DE NOUS;AMBITION MUSIC / SONY MUSIC ENTERTAINMENT;Singles;Or;10/02/2023;23/04/2026;3 ans 2 mois
TIF;DEMAIN C'EST B3ID;HOUMA SWEET HOUMA / ADA MUSIC FRANCE / WARNER MUSIC FRANCE;Singles;Or;10/03/2023;23/04/2026;3 ans 2 mois
ALOK, MONDELLO’ G, CERES & TRIBBS;LET'S GET FKD UP;COLUMBIA / B1 RECORDINGS / SONY MUSIC ENTERTAINMENT;Singles;Or;17/11/2023;23/04/2026;2 ans 5 mois
YOUSSOUPHA;DIEU EST GRANDE;99 REVOLUTION / ALLPOINTS / BELIEVE;Singles;Or;10/01/2025;23/04/2026;1 an 3 mois
WERENOI;INDUSTRY PLANT;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;11/04/2025;23/04/2026;1 an
JUSTIN BIEBER;DAISIES;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;11/07/2025;23/04/2026;9 mois
SUZANE;VIRILE;3EME BUREAU / WAGRAM;Singles;Or;26/09/2025;23/04/2026;6 mois
TRIANGLE DES BERMUDES;MAME;YPDP / PK INTERACTIVE;Singles;Or;21/07/2023;23/04/2026;2 ans 9 mois
LA FOUINE & TIMAR;BROKEN;PLAY TWO / BELIEVE;Singles;Or;13/11/2025;23/04/2026;5 mois
JUL;TRISTE EVERYDAY;D'OR ET DE PLATINE / BELIEVE;Singles;Or;05/12/2025;23/04/2026;4 mois
JUL;CROCODILE;D'OR ET DE PLATINE / BELIEVE;Singles;Platine;06/12/2019;23/04/2026;6 ans 5 mois
47TER;VIVRE;LABEL ENTRECÔTE/SONY MUSIC ENTERTAINMENT;Singles;Platine;29/10/2020;23/04/2026;5 ans 6 mois
SDM;LA VIE DE RÊVE;92I / CAPITOL / UNIVERSAL MUSIC FRANCE;Singles;Platine;18/02/2021;23/04/2026;5 ans 3 mois
JULIETTE ARMANET;QU'IMPORTE;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Singles;Platine;19/11/2021;23/04/2026;4 ans 5 mois
KALASH;TOMBOLO;PLAY TWO / BELIEVE;Singles;Platine;01/04/2022;23/04/2026;4 ans 1 mois
DEAN LEWIS;HOW DO I SAY GOODBYE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;31/08/2022;23/04/2026;3 ans 8 mois
LOMEPAL;HASARDER;PINÉALE / IDOL;Singles;Platine;16/09/2022;23/04/2026;3 ans 7 mois
TAYC;CARRY ME;PLAY TWO / BELIEVE;Singles;Platine;09/01/2023;23/04/2026;3 ans 4 mois
BENSON BOONE;MYSTICAL MAGICAL;NIGHT STREET RECORDS, INC./ WARNER RECORDS INC. / WEA / WARNER MUSIC FRANCE;Singles;Platine;24/04/2025;23/04/2026;1 an
PAUL KALKBRENNER & STROMAE;QUE CE SOIT CLAIR;B1 RECORDINGS / SONY MUSIC ENTERTAINMENT;Singles;Platine;28/08/2025;23/04/2026;7 mois
ZED;JOLI;LDS PRODUCTION / BELIEVE;Singles;Diamant;09/09/2022;23/04/2026;3 ans 8 mois
WERENOI FEAT. TIAKOLA;TOUT SEUL;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Diamant;10/03/2023;23/04/2026;3 ans 2 mois
THE WEEKND FEAT. PLAYBOI CARTI;TIMELESS;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;25/09/2024;23/04/2026;1 an 7 mois
THEODORA & GUY2BEZBAR;PAY!;BOSS LADY RECORDS / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;24/04/2025;23/04/2026;1 an
GIMS & L2B;BLOQUÉ;PLAY TWO / BELIEVE;Singles;Diamant;07/11/2025;23/04/2026;5 mois
GIANNI FEAT. NINHO & DADJU;ACOLYTE;LABEL BLUE SKY / SONY MUSIC ENTERTAINMENT;Singles;Platine;17/03/2023;16/04/2026;3 ans 1 mois
PIERRE GARNIER;L'HORIZON;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Platine;07/06/2024;16/04/2026;1 an 10 mois
HELENA;TOUT A CHANGÉ (RIEN N’A CHANGÉ);RCA GROUP / SONY MUSIC ENTERTAINMENT;Singles;Platine;13/03/2025;16/04/2026;1 an 1 mois
JUNGELI & LENIE;À TES CÔTÉS;NEXT GENERATION - 2054 RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;03/04/2025;16/04/2026;1 an
LOUANE;MAMAN;POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;29/03/2024;16/04/2026;2 ans
DISNEY, SHAKIRA;ZOO;WALT DISNEY RECORDS/POLYDOR/UNIVERSAL MUSIC FRANCE;Singles;Platine;10/10/2025;16/04/2026;6 mois
NINHO & TIAKOLA;LES DIAMANTS DE BOKASSA;REC. 118 / JEFE PRODUCTIONS / WARNER MUSIC FRANCE;Singles;Platine;09/01/2026;16/04/2026;3 mois
DJADJA & DINAZ FEAT. DJ BABS;MALÉFIQUE;CARRÉ MUSIC / BELIEVE;Singles;Diamant;21/07/2017;16/04/2026;8 ans 10 mois
LETO & NINHO;VIE DE STAR;REC. 118 / WARNER MUSIC FRANCE;Singles;Diamant;01/01/2021;16/04/2026;5 ans 4 mois
LA FÈVE;MAUVAIS PAYEUR;WALONE / ADA FRANCE / WARNER MUSIC FRANCE;Singles;Diamant;21/10/2021;16/04/2026;4 ans 6 mois
HUGEL, TOPIC, ARASH & DAECOLM;I ADORE YOU;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;19/07/2024;16/04/2026;1 an 9 mois
BIGFLO & OLI;KARMA;GOLDEN CHILD / AURA MUSIC / VIRGIN RECORDS / UNIVERSAL MUSIC FRANCE;Albums;Or;12/03/2026;16/04/2026;1 mois
FRANGLISH;VIBE (MOOD2 EDITION);CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Platine;09/07/2021;16/04/2026;4 ans 10 mois
NAPS;LA TN;OK MANY INDUSTRIE / 13EME ART / BELIEVE;Albums;Platine;17/06/2022;16/04/2026;3 ans 10 mois
NONO LA GRINTA;RESTART;MPR RECORDS / WARNER MUSIC FRANCE;Albums;Platine;25/04/2025;16/04/2026;11 mois
SHAWN MENDES;SHAWN MENDES;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Double Platine;25/05/2018;16/04/2026;8 ans
SCH;AUTOBAHN;MAISON BARON ROUGE / REC. 118 / WARNER MUSIC FRANCE;Albums;Double Platine;18/11/2022;16/04/2026;3 ans 5 mois
INDOCHINE;BABEL BABEL;RCA / SONY MUSIC ENTERTAINMENT;Albums;Triple Platine;07/09/2024;16/04/2026;1 an 7 mois
BILLIE EILISH;XANNY;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;29/03/2019;09/04/2026;7 ans 1 mois
BIRDY;KEEPING YOUR HEAD UP;ATLANTIC RECORDS UK / WARNER MUSIC FRANCE;Singles;Or;01/01/2016;09/04/2026;10 ans 5 mois
BEYONCÉ;ALL NIGHT;PARKWOOD ENTERTAINMENT / COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;23/04/2016;09/04/2026;10 ans 1 mois
KIKIMOTELEBA;TIGINI;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;21/05/2021;09/04/2026;4 ans 11 mois
SOUF;MA REINE;PHONOGRAM / UNIVERSAL MUSIC FRANCE;Singles;Or;20/09/2022;09/04/2026;3 ans 7 mois
KAROL G FEAT. PESO PLUMA;QLONA;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;15/08/2023;09/04/2026;2 ans 8 mois
JOSMAN;PROBLEMES DE RICHE;SIDELINE / SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;09/04/2026;2 ans 5 mois
JOSMAN;COHIBA;SIDELINE	/ SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;09/04/2026;2 ans 5 mois
STRAY KIDS;CHK CHK BOOM;REPUBLIC RECORDS / STRAY KIDS / VIRGIN MUSIC;Singles;Or;20/07/2024;09/04/2026;1 an 8 mois
DAMSO;LAISSE-MOI TRANQUILLE.;TRENTE-QUATRE CENTIMES;Singles;Or;15/11/2024;09/04/2026;1 an 5 mois
