annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2020,1,7.733245646529795,1,0,7,5,0.14285714285714285,0.0012464165524118161,0,1,0,0,0
2016,1,8.230044310126114,1,0,9,5,0.2222222222222222,0.0036146080019942664,0,1,0,0,0
2019,3,7.862112211662748,3,1,4,0,0.25,0.0002492833104823632,0,1,0,0,0
2020,3,7.70796153183549,1,0,6,5,0.16666666666666666,0.01246416552411816,0,1,0,0,0
2021,9,7.423568444259167,1,0,38,5,0.34210526315789475,0.0016203415181353608,0,1,0,0,0
2023,2,7.063903961472068,1,0,17,5,0.11764705882352941,0.0011217748971706345,0,1,0,0,0
2023,3,7.039660349862076,1,0,4,0,0.0,0.0004985666209647265,0,1,0,0,0
2023,11,6.790097235513905,1,0,1,0,0.0,0.029664713947401222,0,1,0,0,0
2025,1,6.150602768446279,1,0,5,5,0.2,0.0001246416552411816,0,1,0,0,0
2025,4,5.934894195619588,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2025,7,5.659482215759621,1,0,8,5,0.125,0.035398230088495575,0,1,0,0,0
2025,9,5.3471075307174685,1,0,2,0,0.0,0.00311604138102954,0,1,0,0,0
2023,7,6.915723448631314,1,0,2,5,0.0,0.0002492833104823632,0,1,0,0,0
2025,11,5.087596335232384,2,1,7,2,0.5714285714285714,0.01246416552411816,0,1,0,0,0
2025,12,4.941642422609304,1,0,112,5,0.125,0.010345257385018073,0,1,0,0,0
2019,12,7.754052639035757,1,0,112,5,0.125,0.010345257385018073,2,1,0,0,0
2020,10,7.602401335665818,1,0,7,5,0.0,0.0003739249657235448,2,1,0,0,0
2021,2,7.544861068658458,1,0,25,5,0.32,0.0021189081391000874,2,1,0,0,0
2021,11,7.388327859577107,1,0,10,5,0.0,0.003988532967717812,2,1,0,0,0
2022,4,7.302496423727326,1,0,11,5,0.2727272727272727,0.01246416552411816,2,1,0,0,0
2022,8,7.194436851100335,1,0,4,2,0.0,0.035398230088495575,2,1,0,0,0
2022,9,7.182352111885263,1,0,32,5,0.125,0.0014956998628941791,2,1,0,0,0
2023,1,7.0909098220799835,1,0,17,5,0.11764705882352941,0.01246416552411816,2,1,0,0,0
2025,4,5.8998973535824915,1,0,4,5,0.0,0.0003739249657235448,2,1,0,0,0
2025,8,5.476463551931511,2,1,1,2,1.0,0.0001246416552411816,2,1,0,0,0
2022,9,7.187657164114956,1,0,2,5,0.0,0.0004985666209647265,5,1,0,0,0
2023,3,7.039660349862076,2,1,37,5,0.24324324324324326,0.0034899663467530847,5,1,0,0,0
2024,9,6.3561076606958915,2,1,27,5,0.25925925925925924,0.035398230088495575,5,1,0,0,0
2025,4,5.8998973535824915,2,1,5,5,0.4,0.0004985666209647265,5,1,0,0,0
